Sample,Marble,Fluorspar ,Rutile ,Potassium Feldspar,Mish ,Quartz,Fe-Ti (30%),Fe-Ti (70%),CMC,Fe-Nb(69.1%),Cr Metal,HF,Fe-Mo(62.3%),Ni Powder,Fe-Al (61.52%),Na-Alginate,Bentonite,Calcined Alumina,Al-Mo-Ti(40-52-7),Al powder,Cryolite,TiO2 powder,Potassium Titanate ,Al-Mo-Nb(17-69-13.5),Mn Powder,Fe-Si(43.2%),Al-Nb(71.8%),Dolomite,Binder - 1,Binder - 2,Binder - 3,Binder - 4,C,Si,Mn,Cr,Ni,Mo,Ti,Al,Nb,S,P
1,18.0,9.0,38.0,0.0,0.0,18.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,21.0,0.0,0.0,0.0,0.037,3.38,0.56,14.02,51.1,2.87,0.15,0.03,3.35,0.021,0.02
2,20.0,36.0,5.0,2.0,0.2,0.0,16.0,0.0,1.0,2.5,4.0,2.0,2.0,3.0,6.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.047,1.39,0.1,18.07,46.91,2.72,1.23,0.315,4.76,0.003,0.005
3,35.0,21.0,12.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.058,1.12,0.17,19.56,46.29,2.5,0.395,0.098,3.87,0.003,0.006
4,18.0,9.0,38.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.05,1.11,0.065,17.8,48.6,3.15,1.13,0.22,4.85,0.002,0.008
5,22.5,6.0,23.0,0.0,0.0,0.0,0.0,8.5,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.04,0.92,0.05,17.16,51.4,3.11,1.42,0.32,4.99,0.002,0.002
6,18.0,9.0,38.0,0.0,0.0,0.0,0.0,4.3,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.5,18.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.104,0.26,0.047,17.46,51.3,3.17,1.31,0.186,5.13,0.007,0.006
7,35.0,6.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,5.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.046,0.188,0.105,17.29,51.7,2.96,1.27,0.25,5.09,0.002,0.002
8,18.0,9.0,38.0,0.0,0.0,0.0,0.0,4.3,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.5,18.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.047,0.25,0.05,17.44,51.2,3.0,1.21,0.32,5.24,0.001,0.002
9,25.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,5.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.046,0.22,0.04,17.7,51.2,3.01,1.25,0.23,5.05,0.002,0.002
10,25.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,5.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,16.0,0.043,0.019,0.039,17.85,51.7,3.06,0.42,0.12,4.98,0.002,0.002
11,19.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,1.5,0.0,5.0,0.0,0.0,25.0,0.0,3.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,16.0,0.045,0.16,0.02,17.77,50.08,3.81,1.15,0.283,5.17,0.002,0.002
12,25.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6.4,2.5,0.0,5.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,16.0,0.048,0.24,0.11,18.12,51.5,2.89,0.85,0.19,4.95,0.002,0.002
13,24.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.8,2.5,0.0,5.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,16.0,0.042,0.26,0.11,17.94,50.8,2.9,1.03,0.26,5.03,0.002,0.002
14,24.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.0,3.0,4.37,2.5,0.0,5.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,4.5,2.5,0.0,0.0,0.0,0.0,0.041,0.208,0.15,17.98,51.3,2.81,0.66,0.18,5.89,0.002,0.002
15,24.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,8.7,2.5,0.0,5.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.055,0.32,0.05,17.77,50.8,2.84,1.15,0.26,5.02,0.002,0.002
16,24.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.35,2.5,0.0,5.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,4.0,2.5,0.0,0.0,0.0,0.0,0.052,0.18,0.05,17.93,51.0,2.87,0.768,0.197,5.97,0.002,0.001
